P,0.001,0.002,0.003,0.004,0.005 , 0.00699 , 0.0075, 0.008,0.009,0.01
Amount of connected graphs,0,0,0,0,1,209,300,355,442,484,
Estimation of probability,0,0,0,0,0.002,0.418,0.6,0.71,0.884,0.968,
