P,0.015,0.03,0.06,0.09,0.103 , 0.118 , 0.125, 0.139,0.159,0.175
Amount of graphs with diameter 2 or smaller,0,0,0,0,0,351,469,500,500,500,
Estimation of probability,0,0,0,0,0,0.702,0.938,1,1,1,
