P,0.0009,0.0015,0.0028,0.0037,0.0053 , 0.00699 , 0.0079, 0.0084,0.0092,0.015
Amount of graphs with isolated vertex,500,500,500,500,495,298,148,106,36,0,
Estimation of probability,1,1,1,1,0.99,0.596,0.296,0.212,0.072,0,
